movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Nope,"$171,235,592.00","$123,277,080.00",72%,"$47,958,512.00",28%
Chinese Zodiac,"$170,525,083.00",-,-,"$170,525,083.00",100%
The Other Guys,"$170,458,922.00","$119,219,978.00",69.90%,"$51,238,944.00",30.10%
Olympus Has Fallen,"$170,270,201.00","$98,925,640.00",58.10%,"$71,344,561.00",41.90%
Zookeeper,"$169,852,759.00","$80,360,843.00",47.30%,"$89,491,916.00",52.70%
Dumb and Dumber To,"$169,837,010.00","$86,208,010.00",50.80%,"$83,629,000.00",49.20%
Ghost in the Shell,"$169,801,921.00","$40,563,557.00",23.90%,"$129,238,364.00",76.10%
Wonder Woman 1984,"$169,602,006.00","$46,801,036.00",27.60%,"$122,800,970.00",72.40%
The Suicide Squad,"$168,657,565.00","$55,817,425.00",33.10%,"$112,840,140.00",66.90%
Insidious: The Last Key,"$167,885,588.00","$67,745,330.00",40.40%,"$100,140,258.00",59.60%
Fantastic Four,"$167,882,881.00","$56,117,548.00",33.40%,"$111,765,333.00",66.60%
Unstoppable,"$167,805,466.00","$81,562,942.00",48.60%,"$86,242,524.00",51.40%
Magic Mike,"$167,739,368.00","$113,721,571.00",67.80%,"$54,017,797.00",32.20%
Morbius,"$167,460,961.00","$73,865,530.00",44.10%,"$93,595,431.00",55.90%
Ticket to Paradise,"$167,133,845.00","$68,136,535.00",40.80%,"$98,997,310.00",59.20%
Jujutsu Kaisen 0: The Movie,"$166,745,261.00","$34,542,754.00",20.70%,"$132,202,507.00",79.30%
Bridge of Spies,"$165,478,348.00","$72,313,754.00",43.70%,"$93,164,594.00",56.30%
The Muppets,"$165,184,237.00","$88,631,237.00",53.70%,"$76,553,000.00",46.30%
The Huntsman: Winter's War,"$164,989,338.00","$48,390,190.00",29.30%,"$116,599,148.00",70.70%
From Vegas to Macau II,"$163,877,532.00",-,-,"$163,877,532.00",100%
Space Jam: A New Legacy,"$163,732,928.00","$70,592,228.00",43.10%,"$93,140,700.00",56.90%
The Magnificent Seven,"$162,360,636.00","$93,432,655.00",57.50%,"$68,927,981.00",42.50%
Jack Reacher: Never Go Back,"$162,146,076.00","$58,697,076.00",36.20%,"$103,449,000.00",63.80%
Insidious: Chapter 2,"$161,919,318.00","$83,586,447.00",51.60%,"$78,332,871.00",48.40%
Limitless,"$161,849,455.00","$79,249,455.00",49%,"$82,600,000.00",51%
Flight,"$161,772,375.00","$93,772,375.00",58%,"$68,000,000.00",42%
Into the Storm,"$161,502,194.00","$47,602,194.00",29.50%,"$113,900,000.00",70.50%
Unbroken,"$161,459,297.00","$115,637,895.00",71.60%,"$45,821,402.00",28.40%
The Black Phone,"$161,204,742.00","$89,887,230.00",55.80%,"$71,317,512.00",44.20%
The Sacrifice,"$161,047,608.00",-,-,"$161,047,608.00",100%
The Predator,"$160,542,134.00","$51,024,708.00",31.80%,"$109,517,426.00",68.20%
"Three Billboards Outside Ebbing, Missouri","$160,192,031.00","$54,513,740.00",34%,"$105,678,291.00",66%
Underworld: Awakening,"$160,112,671.00","$62,321,039.00",38.90%,"$97,791,632.00",61.10%
Johnny English Reborn,"$160,078,586.00","$8,305,970.00",5.20%,"$151,772,616.00",94.80%
Step Up 3D,"$159,291,809.00","$42,400,223.00",26.60%,"$116,891,586.00",73.40%
Happy Feet Two,"$159,196,259.00","$64,006,466.00",40.20%,"$95,189,793.00",59.80%
Johnny English Strikes Again,"$158,970,776.00","$4,412,170.00",2.80%,"$154,558,606.00",97.20%
Focus,"$158,762,963.00","$53,862,963.00",33.90%,"$104,900,000.00",66.10%
Goosebumps,"$158,260,952.00","$80,080,379.00",50.60%,"$78,180,573.00",49.40%
Final Destination 5,"$157,887,643.00","$42,587,643.00",27%,"$115,300,000.00",73%
Don't Breathe,"$157,761,002.00","$89,217,875.00",56.60%,"$68,543,127.00",43.40%
Hustlers,"$157,563,598.00","$104,963,598.00",66.60%,"$52,600,000.00",33.40%
The Matrix Resurrections,"$157,297,525.00","$37,686,805.00",24%,"$119,610,720.00",76%
The Book of Eli,"$157,107,755.00","$94,835,059.00",60.40%,"$62,272,696.00",39.60%
Ip Man 3,"$156,954,938.00","$2,679,437.00",1.70%,"$154,275,501.00",98.30%
The Climbers,"$156,892,866.00","$487,157.00",0.30%,"$156,405,709.00",99.70%
This Means War,"$156,491,279.00","$54,760,791.00",35%,"$101,730,488.00",65%
The Hateful Eight,"$155,760,117.00","$54,117,416.00",34.70%,"$101,642,701.00",65.30%
Escape Room,"$155,712,077.00","$57,005,601.00",36.60%,"$98,706,476.00",63.40%
The Monuments Men,"$155,641,650.00","$78,031,620.00",50.10%,"$77,610,030.00",49.90%
The Accountant,"$155,160,045.00","$86,260,045.00",55.60%,"$68,900,000.00",44.40%
Lone Survivor,"$154,802,912.00","$125,095,601.00",80.80%,"$29,707,311.00",19.20%
Yesterday,"$154,608,668.00","$73,286,650.00",47.40%,"$81,322,018.00",52.60%
Ride Along,"$154,468,902.00","$134,938,200.00",87.40%,"$19,530,702.00",12.60%
The Town,"$154,026,136.00","$92,186,262.00",59.90%,"$61,839,874.00",40.10%
Peter Rabbit 2: The Runaway,"$153,901,717.00","$40,501,717.00",26.30%,"$113,400,000.00",73.70%
House of Gucci,"$153,265,946.00","$53,809,574.00",35.10%,"$99,456,372.00",64.90%
Monkey King: Hero Is Back,"$153,262,397.00",-,-,"$153,262,397.00",100%
Tower Heist,"$152,930,623.00","$78,046,570.00",51%,"$74,884,053.00",49%
Duckweed,"$152,894,264.00","$471,575.00",0.30%,"$152,422,689.00",99.70%
Date Night,"$152,263,880.00","$98,711,404.00",64.80%,"$53,552,476.00",35.20%
Jackass Presents: Bad Grandpa,"$151,826,547.00","$102,003,019.00",67.20%,"$49,823,528.00",32.80%
47 Ronin,"$151,783,839.00","$38,362,475.00",25.30%,"$113,421,364.00",74.70%
Midnight in Paris,"$151,672,318.00","$56,817,045.00",37.50%,"$94,855,273.00",62.50%
Red Sparrow,"$151,572,634.00","$46,874,505.00",30.90%,"$104,698,129.00",69.10%
Darkest Hour,"$150,847,207.00","$56,468,410.00",37.40%,"$94,378,797.00",62.60%
Gods of Egypt,"$150,680,864.00","$31,153,464.00",20.70%,"$119,527,400.00",79.30%
A Writer's Odyssey,"$150,123,320.00","$160,013.00",0.10%,"$149,963,307.00",99.90%
I Am Number Four,"$149,878,437.00","$55,100,437.00",36.80%,"$94,778,000.00",63.20%
Jack and Jill,"$149,673,788.00","$74,158,157.00",49.50%,"$75,515,631.00",50.50%
Friends with Benefits,"$149,542,245.00","$55,802,754.00",37.30%,"$93,739,491.00",62.70%
No Strings Attached,"$149,228,077.00","$70,662,220.00",47.40%,"$78,565,857.00",52.60%
Lights Out,"$148,868,835.00","$67,268,835.00",45.20%,"$81,600,000.00",54.80%
The Secret World of Arrietty,"$148,800,274.00","$19,202,743.00",12.90%,"$129,597,531.00",87.10%
King Arthur: Legend of the Sword,"$148,675,066.00","$39,175,066.00",26.30%,"$109,500,000.00",73.70%
RED 2,"$148,075,565.00","$53,262,560.00",36%,"$94,813,005.00",64%
The Angry Birds Movie 2,"$147,792,047.00","$41,667,116.00",28.20%,"$106,124,931.00",71.80%
Arthur Christmas,"$147,419,472.00","$46,462,469.00",31.50%,"$100,957,003.00",68.50%
Source Code,"$147,332,697.00","$54,712,227.00",37.10%,"$92,620,470.00",62.90%
Planes: Fire & Rescue,"$146,965,787.00","$59,165,787.00",40.30%,"$87,800,000.00",59.70%
The Last Witch Hunter,"$146,936,910.00","$27,367,660.00",18.60%,"$119,569,250.00",81.40%
The Boss Baby 2: Family Business,"$146,745,280.00","$57,300,280.00",39%,"$89,445,000.00",61%
Angel Has Fallen,"$146,661,977.00","$69,030,436.00",47.10%,"$77,631,541.00",52.90%
Mama,"$146,428,180.00","$71,628,180.00",48.90%,"$74,800,000.00",51.10%
Time Raiders,"$145,819,137.00",-,-,"$145,819,137.00",100%
The Foreigner,"$145,374,099.00","$34,393,507.00",23.70%,"$110,980,592.00",76.30%
"Crazy, Stupid, Love.","$145,051,197.00","$84,351,197.00",58.20%,"$60,700,000.00",41.80%
The Invisible Man,"$144,492,724.00","$70,410,000.00",48.70%,"$74,082,724.00",51.30%
PAW Patrol: The Movie,"$144,327,371.00","$40,127,371.00",27.80%,"$104,200,000.00",72.20%
Pete's Dragon,"$143,695,338.00","$76,233,151.00",53.10%,"$67,462,187.00",46.90%
More Than Blue,"$142,958,164.00","$722,669.00",0.50%,"$142,235,495.00",99.50%
Paranormal Activity 4,"$142,802,657.00","$53,885,000.00",37.70%,"$88,917,657.00",62.30%
Power Rangers,"$142,337,240.00","$85,364,450.00",60%,"$56,972,790.00",40%
New Year's Eve,"$142,044,638.00","$54,544,638.00",38.40%,"$87,500,000.00",61.60%
Onward,"$141,940,042.00","$61,555,145.00",43.40%,"$80,384,897.00",56.60%
The Taking of Tiger Mountain,"$141,654,055.00","$228,984.00",0.20%,"$141,425,071.00",99.80%
Trainwreck,"$140,795,793.00","$110,212,700.00",78.30%,"$30,583,093.00",21.70%
Sausage Party,"$140,705,322.00","$97,685,686.00",69.40%,"$43,019,636.00",30.60%
Girls Trip,"$140,552,359.00","$115,171,585.00",81.90%,"$25,380,774.00",18.10%
Step Up Revolution,"$140,470,746.00","$35,074,677.00",25%,"$105,396,069.00",75%
Lion,"$140,312,928.00","$51,738,905.00",36.90%,"$88,574,023.00",63.10%
Where the Crawdads Sing,"$140,230,760.00","$90,230,760.00",64.30%,"$50,000,000.00",35.70%
Legend of the Guardians: The Owls of Ga'Hoole,"$140,073,390.00","$55,675,313.00",39.70%,"$84,398,077.00",60.30%
Scream,"$140,041,405.00","$81,641,405.00",58.30%,"$58,400,000.00",41.70%
The Wolfman,"$139,789,765.00","$61,979,680.00",44.30%,"$77,810,085.00",55.70%
Mr. Six,"$139,191,345.00","$1,415,450.00",1%,"$137,775,895.00",99%
The Admiral: Roaring Currents,"$138,342,258.00","$2,589,811.00",1.90%,"$135,752,447.00",98.10%
Let's Be Cops,"$138,224,951.00","$82,390,774.00",59.60%,"$55,834,177.00",40.40%
Escape Plan,"$137,328,301.00","$25,135,965.00",18.30%,"$112,192,336.00",81.70%
Death on the Nile,"$137,307,235.00","$45,630,104.00",33.20%,"$91,677,131.00",66.80%
The First Purge,"$137,056,262.00","$69,488,745.00",50.70%,"$67,567,517.00",49.30%
Annie,"$136,853,506.00","$85,911,262.00",62.80%,"$50,942,244.00",37.20%
The Best Exotic Marigold Hotel,"$136,836,156.00","$46,412,041.00",33.90%,"$90,424,115.00",66.10%
How Long Will I Love U,"$136,796,719.00","$746,933.00",0.50%,"$136,049,786.00",99.50%
Skiptrace,"$136,579,287.00",-,-,"$136,579,287.00",100%
Contagion,"$136,515,867.00","$75,658,097.00",55.40%,"$60,857,770.00",44.60%
Tom & Jerry,"$136,497,537.00","$46,536,687.00",34.10%,"$89,960,850.00",65.90%
The Wind Rises,"$136,454,220.00","$5,209,580.00",3.80%,"$131,244,640.00",96.20%
The Bounty Hunter,"$136,333,522.00","$67,061,228.00",49.20%,"$69,272,294.00",50.80%
Saw 3D,"$136,150,434.00","$45,710,178.00",33.60%,"$90,440,256.00",66.40%
Unknown,"$135,710,029.00","$63,686,397.00",46.90%,"$72,023,632.00",53.10%
Jack Ryan: Shadow Recruit,"$135,503,748.00","$50,577,412.00",37.30%,"$84,926,336.00",62.70%
American Made,"$134,866,593.00","$51,342,000.00",38.10%,"$83,524,593.00",61.90%
Wall Street: Money Never Sleeps,"$134,748,021.00","$52,474,616.00",38.90%,"$82,273,405.00",61.10%
Last Vegas,"$134,402,450.00","$63,914,167.00",47.60%,"$70,488,283.00",52.40%
Point Break,"$133,718,711.00","$28,782,481.00",21.50%,"$104,936,230.00",78.50%
The Big Short,"$133,440,870.00","$70,259,870.00",52.70%,"$63,181,000.00",47.30%
The Artist,"$133,432,856.00","$44,671,682.00",33.50%,"$88,761,174.00",66.50%
Zero Dark Thirty,"$132,820,716.00","$95,720,716.00",72.10%,"$37,100,000.00",27.90%
A Wrinkle in Time,"$132,675,864.00","$100,478,608.00",75.70%,"$32,197,256.00",24.30%
Ghost Rider: Spirit of Vengeance,"$132,563,930.00","$51,774,002.00",39.10%,"$80,789,928.00",60.90%
Be Somebody,"$132,326,332.00",-,-,"$132,326,332.00",100%
The Three Musketeers,"$132,274,484.00","$20,374,484.00",15.40%,"$111,900,000.00",84.60%
2 Guns,"$131,940,411.00","$75,612,460.00",57.30%,"$56,327,951.00",42.70%
Halloween Kills,"$131,647,155.00","$92,002,155.00",69.90%,"$39,645,000.00",30.10%
The House with a Clock in Its Walls,"$131,457,147.00","$68,549,695.00",52.10%,"$62,907,452.00",47.90%
A Bad Moms Christmas,"$130,560,428.00","$72,110,659.00",55.20%,"$58,449,769.00",44.80%
Cloud Atlas,"$130,482,868.00","$27,108,272.00",20.80%,"$103,374,596.00",79.20%
Raya and the Last Dragon,"$130,423,032.00","$54,723,032.00",42%,"$75,700,000.00",58%
Warm Hug,"$129,240,236.00",-,-,"$129,240,236.00",100%
The Woman in Black,"$128,955,898.00","$54,333,290.00",42.10%,"$74,622,608.00",57.90%
Pan,"$128,388,320.00","$35,088,320.00",27.30%,"$93,300,000.00",72.70%
Sister,"$128,317,206.00",-,-,"$128,317,206.00",100%
Blended,"$127,994,610.00","$46,294,610.00",36.20%,"$81,700,000.00",63.80%
The Adjustment Bureau,"$127,869,379.00","$62,495,645.00",48.90%,"$65,373,734.00",51.10%
Ad Astra,"$127,461,872.00","$50,188,370.00",39.40%,"$77,273,502.00",60.60%
Midway,"$127,420,861.00","$56,846,802.00",44.60%,"$70,574,059.00",55.40%
Predators,"$127,233,108.00","$52,000,688.00",40.90%,"$75,232,420.00",59.10%
Chronicle,"$126,636,097.00","$64,575,175.00",51%,"$62,060,922.00",49%
Walking with Dinosaurs 3D,"$126,546,518.00","$36,076,121.00",28.50%,"$90,470,397.00",71.50%
Sex Tape,"$126,069,509.00","$38,543,473.00",30.60%,"$87,526,036.00",69.40%
This Is the End,"$126,041,322.00","$101,470,202.00",80.50%,"$24,571,120.00",19.50%
The King's Man,"$125,897,478.00","$37,176,373.00",29.50%,"$88,721,105.00",70.50%
The Upside,"$125,852,517.00","$108,252,517.00",86%,"$17,600,000.00",14%
Detective Chinatown,"$125,842,935.00","$474,252.00",0.40%,"$125,368,683.00",99.60%
Wolf Totem,"$125,837,070.00","$210,591.00",0.20%,"$125,626,479.00",99.80%
Mechanic: Resurrection,"$125,729,635.00","$21,218,403.00",16.90%,"$104,511,232.00",83.10%
Ender's Game,"$125,544,024.00","$61,737,191.00",49.20%,"$63,806,833.00",50.80%
Happy Death Day,"$125,479,266.00","$55,683,845.00",44.40%,"$69,795,421.00",55.60%
Captain Underpants: The First Epic Movie,"$125,427,681.00","$73,921,000.00",58.90%,"$51,506,681.00",41.10%
Ride Along 2,"$124,605,297.00","$91,221,830.00",73.20%,"$33,383,467.00",26.80%
The Theory of Everything,"$123,726,688.00","$35,893,537.00",29%,"$87,833,151.00",71%
Last Christmas,"$123,446,172.00","$35,150,750.00",28.50%,"$88,295,422.00",71.50%
The Curse of La Llorona,"$123,133,739.00","$54,733,739.00",44.50%,"$68,400,000.00",55.50%
The Lego Ninjago Movie,"$123,081,555.00","$59,281,555.00",48.20%,"$63,800,000.00",51.80%
The Pirates! Band of Misfits,"$123,054,041.00","$31,051,126.00",25.20%,"$92,002,915.00",74.80%
Looking Up,"$122,994,583.00","$84,267.00",<0.1%,"$122,910,316.00",99.90%
Zombieland: Double Tap,"$122,810,399.00","$73,123,082.00",59.50%,"$49,687,317.00",40.50%
Dragon Blade,"$122,593,849.00","$74,068.00",<0.1%,"$122,519,781.00",99.90%
Prisoners,"$122,126,687.00","$61,002,302.00",50%,"$61,124,385.00",50%
Secret Superstar,"$122,026,260.00",-,-,"$122,026,260.00",100%
Deepwater Horizon,"$121,790,373.00","$61,433,527.00",50.40%,"$60,356,846.00",49.60%
Soul,"$120,957,731.00",-,-,"$120,957,731.00",100%
The Nut Job,"$120,885,527.00","$64,251,541.00",53.20%,"$56,633,986.00",46.80%
Dora and the Lost City of Gold,"$120,597,108.00","$60,477,943.00",50.10%,"$60,119,165.00",49.90%
Instant Family,"$120,556,201.00","$67,363,237.00",55.90%,"$53,192,964.00",44.10%
We Bought a Zoo,"$120,081,841.00","$75,624,550.00",63%,"$44,457,291.00",37%
The Commuter,"$119,942,387.00","$36,343,858.00",30.30%,"$83,598,529.00",69.70%
Extreme Job,"$119,932,733.00","$1,565,885.00",1.30%,"$118,366,848.00",98.70%
The Addams Family 2,"$119,815,153.00","$56,489,153.00",47.10%,"$63,326,000.00",52.90%
Parental Guidance,"$119,772,232.00","$77,267,296.00",64.50%,"$42,504,936.00",35.50%
Wonder Park,"$119,559,110.00","$45,216,793.00",37.80%,"$74,342,317.00",62.20%
Allied,"$119,520,023.00","$40,098,064.00",33.50%,"$79,421,959.00",66.50%
I Belonged to You,"$119,107,580.00","$744,541.00",0.60%,"$118,363,039.00",99.40%
The Shallows,"$119,100,758.00","$55,124,043.00",46.30%,"$63,976,715.00",53.70%
Forever Young,"$119,055,731.00",-,-,"$119,055,731.00",100%
Hankyu Railways - A 15-minute Miracle,"$118,799,256.00",-,-,"$118,799,256.00",100%
The Purge: Election Year,"$118,587,880.00","$79,213,375.00",66.80%,"$39,374,505.00",33.20%
Jurassic Park 2013 Re-release,"$118,192,315.00","$45,385,935.00",38.40%,"$72,806,380.00",61.60%
A Cool Fish,"$118,153,135.00","$551,876.00",0.50%,"$117,601,259.00",99.50%
Why Him?,"$118,102,725.00","$60,323,786.00",51.10%,"$57,778,939.00",48.90%
P Storm,"$117,991,727.00","$326,711.00",0.30%,"$117,665,016.00",99.70%
Saving Mr. Banks,"$117,867,984.00","$83,301,580.00",70.70%,"$34,566,404.00",29.30%
Pompeii,"$117,831,631.00","$23,219,748.00",19.70%,"$94,611,883.00",80.30%
Magic Mike XXL,"$117,813,057.00","$66,013,057.00",56%,"$51,800,000.00",44%
Game Night,"$117,679,066.00","$69,179,066.00",58.80%,"$48,500,000.00",41.20%
Water for Elephants,"$117,094,902.00","$58,709,717.00",50.10%,"$58,385,185.00",49.90%
Warm Bodies,"$116,980,662.00","$66,380,662.00",56.70%,"$50,600,000.00",43.30%
Abraham Lincoln: Vampire Hunter,"$116,471,580.00","$37,519,139.00",32.20%,"$78,952,441.00",67.80%
Personal Tailor,"$116,126,458.00","$375,892.00",0.30%,"$115,750,566.00",99.70%
The Iron Lady,"$115,890,699.00","$30,017,992.00",25.90%,"$85,872,707.00",74.10%
Dragon Ball Super: Broly,"$115,757,940.00","$30,712,119.00",26.50%,"$85,045,821.00",73.50%
A Nightmare on Elm Street,"$115,694,863.00","$63,075,011.00",54.50%,"$52,619,852.00",45.50%
Detective Conan: The Fist of Blue Sapphire,"$115,570,314.00",-,-,"$115,570,314.00",100%
Pitch Perfect,"$115,350,426.00","$65,001,093.00",56.40%,"$50,349,333.00",43.60%
The Gentlemen,"$115,171,795.00","$36,471,795.00",31.70%,"$78,700,000.00",68.30%
The Monkey King 3,"$115,084,576.00","$187,074.00",0.20%,"$114,897,502.00",99.80%
Dear John,"$114,984,666.00","$80,014,842.00",69.60%,"$34,969,824.00",30.40%
So Young,"$114,926,694.00","$11,186.00",<0.1%,"$114,915,508.00",100%
Book of Love,"$114,679,097.00",-,-,"$114,679,097.00",100%
Office Christmas Party,"$114,501,299.00","$54,767,494.00",47.80%,"$59,733,805.00",52.20%
Hope Springs,"$114,281,051.00","$63,536,011.00",55.60%,"$50,745,040.00",44.40%
Seventh Son,"$114,178,613.00","$17,223,265.00",15.10%,"$96,955,348.00",84.90%
My Love,"$114,016,434.00","$86,252.00",<0.1%,"$113,930,182.00",99.90%
The Dark Tower,"$113,231,078.00","$50,701,325.00",44.80%,"$62,529,753.00",55.20%
Pet Sematary,"$113,118,226.00","$54,724,696.00",48.40%,"$58,393,530.00",51.60%
Insidious: Chapter 3,"$112,983,889.00","$52,218,558.00",46.20%,"$60,765,331.00",53.80%
Cats & Dogs: The Revenge of Kitty Galore,"$112,483,764.00","$43,585,753.00",38.70%,"$68,898,011.00",61.30%
Tooth Fairy,"$112,462,508.00","$60,022,256.00",53.40%,"$52,440,252.00",46.60%
Boonie Bears: Blast Into the Past,"$112,367,881.00",-,-,"$112,367,881.00",100%
How to Be Single,"$112,343,513.00","$46,843,513.00",41.70%,"$65,500,000.00",58.30%
The Purge: Anarchy,"$111,928,365.00","$71,962,800.00",64.30%,"$39,965,565.00",35.70%
"Dad, Where Are We Going?","$111,870,000.00",-,-,"$111,870,000.00",100%
Get Hard,"$111,711,453.00","$90,411,453.00",80.90%,"$21,300,000.00",19.10%
The Call of the Wild,"$111,202,881.00","$62,342,368.00",56.10%,"$48,860,513.00",43.90%
Good Boys,"$111,173,598.00","$83,140,306.00",74.80%,"$28,033,292.00",25.20%
Free Birds,"$110,387,072.00","$55,750,480.00",50.50%,"$54,636,592.00",49.50%
10 Cloverfield Lane,"$110,216,998.00","$72,082,998.00",65.40%,"$38,134,000.00",34.60%
Moneyball,"$110,206,216.00","$75,605,492.00",68.60%,"$34,600,724.00",31.40%
Buddies in India,"$110,155,128.00","$293,194.00",0.30%,"$109,861,934.00",99.70%
The 5th Wave,"$109,906,372.00","$34,916,787.00",31.80%,"$74,989,585.00",68.20%
Along With the Gods: The Two Worlds,"$109,383,972.00","$1,908,823.00",1.70%,"$107,475,149.00",98.30%
Sanctum,"$108,609,310.00","$23,209,310.00",21.40%,"$85,400,000.00",78.60%
The Boxtrolls,"$108,255,770.00","$50,837,305.00",47%,"$57,418,465.00",53%
Neighbors 2: Sorority Rising,"$108,007,109.00","$55,455,765.00",51.30%,"$52,551,344.00",48.70%
Horrible Bosses 2,"$107,645,357.00","$54,445,357.00",50.60%,"$53,200,000.00",49.40%
Paul Blart: Mall Cop 2,"$107,588,225.00","$71,038,190.00",66%,"$36,550,035.00",34%
Clifford the Big Red Dog,"$107,347,356.00","$48,947,356.00",45.60%,"$58,400,000.00",54.40%
Vacation,"$107,228,221.00","$58,884,188.00",54.90%,"$48,344,033.00",45.10%
ParaNorman,"$107,139,399.00","$56,003,051.00",52.30%,"$51,136,348.00",47.70%
Harmony,"$107,056,263.00",-,-,"$107,056,263.00",100%
The Man from U.N.C.L.E.,"$107,045,109.00","$45,445,109.00",42.50%,"$61,600,000.00",57.50%
The Breakup Guru,"$106,980,263.00","$208,959.00",0.20%,"$106,771,304.00",99.80%
Hereafter,"$106,956,330.00","$32,746,941.00",30.60%,"$74,209,389.00",69.40%
Chronicles of the Ghostly Tribe,"$106,380,000.00",-,-,"$106,380,000.00",100%
Shaun the Sheep Movie,"$106,209,378.00","$19,375,982.00",18.20%,"$86,833,396.00",81.80%
Life as We Know It,"$105,734,416.00","$53,374,681.00",50.50%,"$52,359,735.00",49.50%
First Man,"$105,697,415.00","$44,936,545.00",42.50%,"$60,760,870.00",57.50%
Gangster Squad,"$105,200,903.00","$46,000,903.00",43.70%,"$59,200,000.00",56.30%
Sisters,"$105,011,053.00","$87,044,645.00",82.90%,"$17,966,408.00",17.10%
The Campaign,"$104,907,746.00","$86,907,746.00",82.80%,"$18,000,000.00",17.20%
Let the Bullets Fly,"$104,723,314.00","$63,012.00",<0.1%,"$104,660,302.00",99.90%
Scary Stories to Tell in the Dark,"$104,545,505.00","$68,947,075.00",65.90%,"$35,598,430.00",34.10%
Book Club,"$104,438,188.00","$68,566,296.00",65.70%,"$35,871,892.00",34.30%
Halloween Ends,"$104,186,860.00","$64,079,860.00",61.50%,"$40,107,000.00",38.50%
Wrath of Man,"$103,966,489.00","$27,466,489.00",26.40%,"$76,500,000.00",73.60%
Immortal Demon Slayer,"$103,818,506.00",-,-,"$103,818,506.00",100%
Everything Everywhere All at Once,"$103,740,689.00","$70,008,593.00",67.50%,"$33,732,096.00",32.50%
Ouija,"$103,590,271.00","$50,856,010.00",49.10%,"$52,734,261.00",50.90%
Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094.00","$42,340,598.00",41%,"$60,874,496.00",59%
Cold War 2,"$103,197,501.00","$560,824.00",0.50%,"$102,636,677.00",99.50%
Night School,"$103,105,878.00","$77,339,130.00",75%,"$25,766,748.00",25%
Transcendence,"$103,039,258.00","$23,022,309.00",22.30%,"$80,016,949.00",77.70%
Jigsaw,"$102,952,888.00","$38,052,832.00",37%,"$64,900,056.00",63%
Love & Other Drugs,"$102,820,008.00","$32,367,005.00",31.50%,"$70,453,003.00",68.50%
Chappie,"$102,811,889.00","$31,569,268.00",30.70%,"$71,242,621.00",69.30%
Star Wars: Episode I - The Phantom Menace 2012 3D Release,"$102,739,593.00","$43,456,382.00",42.30%,"$59,283,211.00",57.70%
Project X,"$102,731,865.00","$54,731,865.00",53.30%,"$48,000,000.00",46.70%
RRR,"$102,701,245.00","$11,113,000.00",10.80%,"$91,588,245.00",89.20%
Railroad Tigers,"$102,205,175.00","$218,044.00",0.20%,"$101,987,131.00",99.80%
Heaven Is for Real,"$101,888,019.00","$91,443,253.00",89.70%,"$10,444,766.00",10.30%
Detective Conan: Zero the Enforcer,"$101,860,359.00",-,-,"$101,860,359.00",100%
The Devil Inside,"$101,758,490.00","$53,261,944.00",52.30%,"$48,496,546.00",47.70%
The Roundup,"$101,154,047.00","$812,859.00",0.80%,"$100,341,188.00",99.20%
Joy,"$101,134,059.00","$56,451,232.00",55.80%,"$44,682,827.00",44.20%
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$100,654,149.00","$66,954,149.00",66.50%,"$33,700,000.00",33.50%
Life,"$100,541,806.00","$30,234,022.00",30.10%,"$70,307,784.00",69.90%
Instructions Not Included,"$100,486,616.00","$44,467,206.00",44.30%,"$56,019,410.00",55.70%
Tammy,"$100,375,432.00","$84,525,432.00",84.20%,"$15,850,000.00",15.80%
PK,"$100,370,104.00","$10,616,104.00",10.60%,"$89,754,000.00",89.40%
Aftershock,"$100,293,273.00","$62,962.00",<0.1%,"$100,230,311.00",99.90%
Philomena,"$100,129,872.00","$37,709,979.00",37.70%,"$62,419,893.00",62.30%
The Continent,"$100,125,957.00",-,-,"$100,125,957.00",100%
Atomic Blonde,"$100,014,025.00","$51,687,870.00",51.70%,"$48,326,155.00",48.30%
The Book of Life,"$99,783,556.00","$50,151,543.00",50.30%,"$49,632,013.00",49.70%
Black Mass,"$99,775,678.00","$62,575,678.00",62.70%,"$37,200,000.00",37.30%
Alpha,"$99,630,675.00","$35,857,181.00",36%,"$63,773,494.00",64%
Insidious,"$99,557,032.00","$54,009,150.00",54.20%,"$45,547,882.00",45.80%
Line Walker 2: Invisible Spy,"$99,482,027.00","$296,751.00",0.30%,"$99,185,276.00",99.70%
The Lucky One,"$99,357,138.00","$60,457,138.00",60.80%,"$38,900,000.00",39.20%
Blue Jasmine,"$99,104,804.00","$33,405,481.00",33.70%,"$65,699,323.00",66.30%
Ode to My Father,"$99,085,291.00","$2,300,121.00",2.30%,"$96,785,170.00",97.70%
Justin Bieber: Never Say Never,"$99,036,827.00","$73,013,910.00",73.70%,"$26,022,917.00",26.30%
Young Detective Dee: Rise of the Sea Dragon,"$98,774,891.00","$87,783.00",<0.1%,"$98,687,108.00",99.90%
Spotlight,"$98,690,254.00","$45,055,776.00",45.70%,"$53,634,478.00",54.30%
Umizaru 3: The Last Message,"$98,663,381.00",-,-,"$98,663,381.00",100%
Devil and Angel,"$98,599,942.00","$131,058.00",0.10%,"$98,468,884.00",99.90%
The Visit,"$98,450,062.00","$65,206,105.00",66.20%,"$33,243,957.00",33.80%
Riddick,"$98,337,295.00","$42,025,135.00",42.70%,"$56,312,160.00",57.30%
Killers,"$98,159,963.00","$47,059,963.00",47.90%,"$51,100,000.00",52.10%
